Unnamed: 0,Text,Place Name,Country name EN,Wiki Title,id,gemini-flash,gemini-flash_loc,gemini-flash_faiss,gemini-pro,train
610,"It lies on the border with Brazil, separated from its Brazilian sister town of Chuí only by a shared avenue that serves as the border, and by the Arroyo Chuy (stream) to the east.",Chui,uruguay,Chuy,610,brazil,no,['myanmar'],brazil,0
219,El Bayadh (Arabic: البيض) is a municipality of Algeria.,El Bayadh,algeria,El Bayadh,964,algeria,algeria,['algeria'],algeria,0
429,"Meftah is a town and commune in Blida Province, Algeria.",Meftah,algeria,Meftah (town),1174,algeria,"blida province, algeria",['algeria'],algeria,0
331,"The name Progreso is due to the arrival of the railway in 1871, which was introduced into Uruguay by the English.",Progreso,uruguay,"Progreso, Uruguay",331,uruguay,uruguay,['uruguay'],uruguay,0
588,"Ain Oussera, has experienced, since 1990, rapid population growth due to its proximity to the 15 MW Es Salam nuclear reactor.",AÃ¯n Oussera,algeria,AÃ¯n Oussera,1333,algeria,no,['myanmar'],algeria,0
277,"The Malay writer Abdullah bin Abdul Kadir visited Al-Hudaydah on his pilgrimage to Mecca in 1854, and describes the city in his account of the journey, mentioning that the custom of chewing khat was prevalent in the city at this time.",Al á¸¨udaydah,yemen,Al Hudaydah,1022,yemen,al-hudaydah,['yemen'],yemen,0
12,Merouana is one of the oldest local daïras (districts).,Merouana,algeria,Merouana,757,algeria,merouana,['algeria'],algeria,0
413,Żurrieq is one of the 10 parishes to be documented in 1436 and it is dedicated to Saint Catherine.,Å»urrieq,malta,Å»urrieq,413,malta,Ã¥Â»urrieq,"['palestine, state of']",malta,0
295,Jijel is situated 30 km from Taza National Park; this national park and other vicinity features support a variety of flora and fauna.,Jijel,algeria,Jijel,1040,no,jijel,['algeria'],algeria,0
440,"Saada is one of the earliest medieval cities in Yemen, the birthplace of the Shiite sect of Islam in Yemen, and the base of the regime of the Zaydi Imam of Yemen.",Sa'dah,yemen,Saada,1185,yemen,yemen,['yemen'],yemen,0
165,"Charef is a town and commune in Djelfa Province, Algeria.",Charef,algeria,Charef,910,algeria,charef,['algeria'],algeria,0
577,The Port of London is Kiritimati's major port.,London Village,kiribati,"London, Kiribati",1322,kiribati,kiritimati,['kiribati'],kiribati,0
430,"Yafrus (Arabic: يفرس) is a sub-district in Jabal Habashi District, Taiz Governorate, Yemen.",Yufrus,yemen,Yafrus,1175,yemen,yemen,['yemen'],yemen,0
427,Bobonong is a town in the Central District of Botswana 80 km from Selibe Phikwe town.,Bobonong,botswana,Bobonong,427,botswana,bobonong,['botswana'],botswana,0
316,"The seafront of Gżira has views of the walled city of Valletta, which is illuminated at night, forming a backdrop to Manoel Island, the yacht marina and a seafront public garden.",GÅ¼ira,malta,GÅ¼ira,316,malta,gÅ¼ira,['malta'],malta,0
804,"Ibb was governed by a semi-autonomous emir until 1944, when the emirate was abolished.",Ibb,yemen,Ibb,1549,yemen,ibb,['yemen'],yemen,0
65,"Part of the Khanate of Bukhara since the 16th century (the Emirate of Bukhara since the 18th century), the city changed its name from Khatlon to Kulob in 1750.",KÅ­lob,tajikistan,Kulob,65,uzbekistan,kulob,['tajikistan'],tajikistan,0
736,Lobatse Stadium with a capacity of 20 000 seats is home to local sports teams.,Lobatse,botswana,Lobatse,736,botswana,lobatse,['botswana'],botswana,0
29,"The population of Mu'minobod is yearly estimated by the State Committee of Statistics,",MÅ­âminobod,tajikistan,Mu'minobod,29,tajikistan,mu'minobod,['tajikistan'],tajikistan,0
543,"In 1929 Basmachi commander Faizal Maksum crossed from Afghanistan into Tajikistan and briefly captured the city Gharm, only to later be expelled by Soviet forces.",Rasht,tajikistan,Rasht_District,543,tajikistan,gharm,['pakistan'],tajikistan,0
335,"The next historical reference to Taiz mentioned that Queen Arwa al-Sulayhi's minister, Prince Al-Mansur bin Al-Mufaddal bin Abi Al-Barakat, sold many of the country's castles and cities - except for the fortresses of Taiz and Sabr - to the ruler of Aden Al-Zari'i, the preacher Muhammad Ibn Saba, in exchange for one hundred thousand dinars.",Taiz,yemen,Taiz,1080,yemen,taiz,['yemen'],yemen,0
915,Bairiki is an islet near the Western end of South Tarawa.,Bairiki Village,kiribati,Bairiki,1660,kiribati,south tarawa,['kiribati'],kiribati,0
634,"Sanaa (Arabic: صَنْعَاء‎, Ṣanʿāʾ [sˤɑnʕaːʔ], Yemeni Arabic: [ˈsˤɑnʕɑ]; Old South Arabian: 𐩮𐩬𐩲𐩥 Ṣnʿw), also spelled Sana'a and Sana, is the capital and largest city of Yemen and the capital of the Sanaa Governorate.",Sanaa,yemen,Sanaa,1379,yemen,sanaa,['yemen'],yemen,0
668,It is unclear what the word 'Attard' means.,Attard,malta,Attard,668,malta,no,['myanmar'],malta,0
670,It has been the capital of the Béni Abbès District since 1957.,BÃ©ni AbbÃ¨s,algeria,BÃ©ni AbbÃ¨s,1415,algeria,bÃ£Â©ni abbÃ£Â¨s district,['russian federation'],algeria,0
30,"South of Mu'minobod, there is a reservoir, storing water for irrigation.",MÅ­âminobod,tajikistan,Mu'minobod,30,tajikistan,mu'minobod,['tajikistan'],tajikistan,0
453,"Kusmah District is a district of the Raymah Governorate, Yemen.",Kusmah,yemen,Kusmah District,1198,yemen,yemen,['yemen'],yemen,0
289,"Saïda is located in north-western Algeria, on the southern slopes of the Tell Atlas mountain range at the northern fringe of the High Plateaus.",SaÃ¯da,algeria,"SaÃ¯da, Algeria",1034,algeria,saÃ£Â¯da,"[""cÃ´te d'ivoire""]",algeria,0
436,"Shibam Hadramawt (Arabic: شِبَام حَضْرَمَوْت, romanized: Shibām Ḥaḍramawt) is a town in Yemen.",ShibÄm,yemen,Shibam,1181,yemen,yemen,['yemen'],yemen,0
373,"In the 11th century, Banu Hilal, an Arab tribe living between Nile and Red Sea, settled in Tunisia, Tripolitania (western Libya) and Constantinois (eastern Algeria) which was Ouargla party.",Ouargla,algeria,Ouargla,1118,no,no,['myanmar'],no,0
425,"Rakops, also known as Tsienyane, is a village in Central District of Botswana.",Rakops,botswana,Rakops,425,botswana,rakops,['botswana'],botswana,0
478,El Aouinet is a town and commune in Tébessa Province in north-eastern Algeria.,El Aouinet,algeria,El Aouinet,1223,algeria,el aouinet,['algeria'],algeria,0
682,Many people from across Botswana have come to seek permanent and sometimes temporary settlement in Tlokweng because of its proximity to the capital city where most jobs are.,Tlokweng,botswana,Tlokweng,682,botswana,tlokweng,['botswana'],botswana,0
332,General Seregni (former Colonia Nicolich) is a town in the Canelones Department of southern Uruguay.,Colonia Nicolich,uruguay,Colonia Nicolich,332,uruguay,general seregni (former colonia nicolich),['uruguay'],uruguay,0
344,"The town was formed around the Jwaneng diamond mine, considered the richest in the world in terms of its content of gem-quality diamonds.",Jwaneng,botswana,Jwaneng,344,botswana,jwaneng,['botswana'],botswana,0
651,"Built in 1740 by the Dutch, New Amsterdam was first named Fort Sint Andries.",New Amsterdam,guyana,"New Amsterdam, Guyana",651,guyana,new amsterdam,['guyana'],guyana,0
775,"Abadla (Arabic: العبادلة) is a town and commune in western Algeria, and capital of Abadla District, Béchar Province.",Abadla,algeria,Abadla,1520,algeria,western algeria,['western sahara'],algeria,0
810,"Sidi Amrane has a hot desert climate (Köppen climate classification BWh), with very hot summers and mild winters.",Sidi Amrane,algeria,Sidi Amrane,1555,algeria,sidi amrane,['algeria'],algeria,0
14,Frenda is a town and commune in Tiaret Province in northwestern Algeria.,Frenda,algeria,Frenda,759,algeria,frenda,['algeria'],algeria,0
901,"In 1984, the commune of Chemini was formed from the following localities:",Chemini,algeria,Chemini,1646,algeria,chemini,['algeria'],algeria,0
513,"Naxxar (Maltese: In-Naxxar) is a small city in the Northern Region of Malta, with a population of 14,891 people as of March 2014.",Naxxar,malta,Naxxar,513,malta,naxxar,['malta'],malta,0
115,"The population of Gumare was 6,067 in 2001 census, but had risen to 8,532 iby the 2011 census.",Gumare,botswana,Gumare,115,botswana,gumare,['botswana'],botswana,0
192,"El M'Ghair has a hot desert climate (Köppen climate classification BWh), with very hot summers and mild winters, and very little precipitation throughout the year.",El MeghaÃ¯er,algeria,El M'Ghair,937,algeria,el m'ghair,['mexico'],algeria,0
514,The Naxxar Church is dedicated to Our Lady of Victories.,Naxxar,malta,Naxxar,514,malta,naxxar,['malta'],malta,0
528,CA Bordj Bou Arréridj (CABBA) is a 1st Level Algerian professional football club based in town; its home grounds are 20 August 1955 Stadium in Mohamed Belouizdad.,Bordj Bou Arreridj,algeria,Bordj Bou ArrÃ©ridj,1273,algeria,bordj bou arrÃ£Â©ridj,['algeria'],algeria,0
708,"Guelma (Arabic: قالمة Qālima; Algerian Arabic: ڨالمة; Algerian pronunciation: [ɡelmæ]) is the capital of Guelma Province and Guelma District, located in north-eastern Algeria, about 65 kilometers from the Mediterranean coast.",Guelma,algeria,Guelma,1453,algeria,guelma,['algeria'],algeria,0
32,"Tarariras, is a small city in the south of the Colonia Department of southern Uruguay.",Tarariras,uruguay,Tarariras,32,uruguay,tarariras,['uruguay'],uruguay,0
797,"Hamdani specified that the city's name referred to the fact that it was inhabited by ""the sons of Khamir""; he wrote that, during his lifetime, the town was mostly inhabited by members of Bakil.",Khamir,yemen,"Khamir, Yemen",1542,yemen,no,['myanmar'],yemen,0
596,"Raydah (Arabic: ريدة; sometimes transliterated Raidah  or al-Raidah) is a large market town located 49 kilometres (30 mi) north of Sana'a, and 11 miles (18 km) north of Amran, in northwestern Yemen.",Raydah,yemen,Raydah,1341,yemen,raydah,['yemen'],yemen,0
628,"The village's key development areas include the Central Roads Depot, Central Transport Organisation (with a fuel point), Airstrip/Landing ground (along Kang-Tsetseng road), mini Rural Administration Centre/ Service Centre, Botswana Open University Regional Campus, Brigade Centre, Police Station, Health Clinic, Magistrate Court, Department Road Transport Service offices, Wildlife offices, Botswana Power Corporation Offices, Water Utilities Corporation offices, Facility Management offices, Senior Secondary, Junior Secondary School and two primary schools.",Kang,botswana,"Kang,_Botswana",628,botswana,botswana,['botswana'],botswana,0
66,"The commune of Mekla is composed of 22 villages: Agouni Bouafir, Thala n'Taoueche, Aït Aich, Aït Mansour, Aït Mekki, Aït Moussa, Amazul, Bouzahrir, Chaib, Chaoufa, Djemaa Saharidj, Igoulfane, Laghrous, Lazib, Mahmoud, Maouya, Mekla, Mesloub, Taliouine, Tigrine, Taourirt Adene, Tizi n Terga.",Mekla,algeria,Mekla,811,algeria,no,['myanmar'],algeria,0
637,Swieqi has seen its population rise over the years.,Swieqi,malta,Swieqi,637,malta,swieqi,['malta'],malta,0
747,"From 1923, Douera became home to a major military transmission center, and in 1962, an important hospital-hospice with 2,000 beds was established there.",DouÃ©ra,algeria,DouÃ©ra,1492,algeria,douera,['algeria'],algeria,0
40,"In 2017, the Saudi-Emirati coalition seized Al Ghaydah Airport, but handed it back to civil authorities in 2018 following protests.",Al GhayzÌ§ah,yemen,Al Ghaydah,785,yemen,al ghaydah airport,['yemen'],yemen,0
908,"In the 6th century the Byzantine Emperor Justinian had Milevum enclosed by a fortified wall, which still stands and forms a rampart for the Muslim city of Mila.",Mila,algeria,Mila (city),1653,algeria,mila,['algeria'],algeria,0
251,"According to the 2022 Population and Household census, the population of Orapa stood at 8,648.",Orapa,botswana,Orapa,251,botswana,orapa,['botswana'],botswana,0
244,"For travellers, Shakawe means a Botswana entry or exit stamp or a staging post for a visit to the Tsodilo Hills, 40 km away.",Shakawe,botswana,Shakawe,244,botswana,botswana,['botswana'],botswana,0
340,"On May 24, 1994, Ataq was seized by northern Yemeni forces.",Ataq,yemen,Ataq,1085,yemen,ataq,['yemen'],yemen,0
683,"With the arrival of the colonizers and the project of colonization on the lands of Boudouaou, many prehistoric vestiges under the occupation were discovered: rhinoceros bones house in the Musée de l'Homme in Paris, a bronze axe, flint Retouched and prehistoric arrows are examples of discoveries already made.",Boudouaou,algeria,Boudouaou,1428,no,boudouaou,['algeria'],algeria,0
728,This was Latinized as Theveste.,TÃ©bessa,algeria,TÃ©bessa,1473,algeria,theveste,['france'],algeria,0
141,"Al Jamimah District (Arabic: مديرية الجميمة) is a district of the Hajjah Governorate, Yemen.",Al JamÄ«mah,yemen,Al Jamimah District,886,yemen,yemen,['yemen'],yemen,0
726,"Tébessa was home to over 190,000 people in 2007.",TÃ©bessa,algeria,TÃ©bessa,1471,algeria,tÃ©bessa,['algeria'],algeria,0
482,"The Mariam Al-Batool Mosque, the only mosque in Malta, as well as an Islamic Cultural Centre are found in Paola.",Paola,malta,"Paola, Malta",482,malta,paola,"['malta', 'united states', 'italy']",malta,0
59,"Kulob (Tajik: Кӯлоб, کولاﺏ, romanized: Kûlob/Kūlob), formerly also Kulyab (Russian: Куляб, romanized: Kuljab), is a city in Khatlon Region, southern Tajikistan.",KÅ­lob,tajikistan,Kulob,59,tajikistan,kulob,['tajikistan'],tajikistan,0
158,Reggane lies in the Sahara Desert near an oasis.,Reggane,algeria,Reggane,903,no,reggane,['algeria'],algeria,0
69,San Ramón is also the name of the municipality to which the city belongs.,San RamÃ³n,uruguay,"San RamÃ³n, Uruguay",69,no,no,['myanmar'],no,0
220,Maun is also the headquarters of numerous safari and air-charter operations who run trips into the Okavango Delta.,Maun,botswana,"Maun, Botswana",220,botswana,maun,['botswana'],botswana,0
457,"Rasad District  is a district of the Abyan Governorate, Yemen.",RaÅad,yemen,Rasad District,1202,yemen,yemen,['yemen'],yemen,0
784,"Hawf District is a district of the Al Mahrah Governorate, Yemen.",á¸¨awf,yemen,Hawf District,1529,yemen,yemen,['yemen'],yemen,0
461,"The settlement of Garet Djebilet lies within the municipal territory of Tindouf near the border with Mauritania; the settlement has an iron mine and a defunct airport, and is approximately 70 kilometres (43 mi) northwest of Âouinet Bel Egrâ.",Tindouf,algeria,Tindouf,1206,algeria,garet djebilet,['australia'],algeria,0
334,Taiz first became an urbanized area during the days of his brother Ali bin Muhammad al-Sulayhi.,Taiz,yemen,Taiz,1079,yemen,taiz,['yemen'],yemen,0
597,"The last time an incident of this kind had occurred in Raydah was in 1986, when two Jews were killed.",Raydah,yemen,Raydah,1342,yemen,raydah,['yemen'],yemen,0
136,Dozens have been killed within Lawdar District in conflicts between the jihadists and the army.,Lawdar,yemen,Lawdar,881,yemen,lawdar district,['madagascar'],yemen,0
506,"Mahalapye has a bus station, a railway station, a couple of hotels and a market area with many shops and fast food restaurants, Water Shed mall is the latest attraction to those travelling from Gaborone to Francistown, great place for refreshments.",Mahalapye,botswana,Mahalapye,506,botswana,mahalapye,['botswana'],botswana,0
692,"It was founded on 24 April 1783 under the name ""Villa Guadalupe"".",Canelones,uruguay,"Canelones, Uruguay",692,no,no,['myanmar'],no,0
458,"Guadalupe is a town located in the northern part of São Tomé Island, which is part of the island nation of São Tomé and Príncipe.",Guadalupe,sao tome and principe,"Guadalupe, SÃ£o TomÃ© and PrÃ­ncipe",1203,sÃ£Â£o tomÃ£Â© and prÃ£Â­ncipe,sÃ£Â£o tomÃ£Â© and prÃ£Â­ncipe,['italy'],sÃ£o tomÃ© and prÃ­ncipe,0
307,Megarine is connected to the N3 national highway a short 2.5 kilometres (1.6 mi) long local road.,Megarine,algeria,Megarine,1052,algeria,megarine,['algeria'],algeria,0
748,"Taibet is a town and commune, and the capital of Taibet District, in Touggourt Province, Algeria.",TaÃ¯bet,algeria,Taibet,1493,algeria,algeria,['algeria'],algeria,0
567,Trinidad occupies an area of 5.5 square kilometres (2.1 sq mi) on an altitude of 134 metres (440 ft) above sea level.,Trinidad,uruguay,"Trinidad, Uruguay",567,no,trinidad,"['trinidad and tobago', 'honduras', 'uruguay', 'bolivia, plurinational state of', 'cuba', 'philippines', 'colombia', 'paraguay', 'united states']",uruguay,0
478,It is named after the sociologist and politician José Pedro Varela.,JosÃ© Pedro Varela,uruguay,"JosÃ© Pedro Varela, Uruguay",478,no,no,['myanmar'],no,0
78,"In 2011, Bella Unión had a population of 12,200.",Bella UniÃ³n,uruguay,Bella UniÃ³n,78,uruguay,bella uniÃ£Â³n,['italy'],uruguay,0
433,"Ash Shahil District is a district of the Hajjah Governorate, Yemen.",Ash ShÄhil,yemen,Ash Shahil District,1178,yemen,yemen,['yemen'],yemen,0
134,It is served by Lawdar Airport.,Lawdar,yemen,Lawdar,879,yemen,lawdar,['yemen'],yemen,0
566,"The stream Arroyo Sarandí, flows 4 kilometres (2.5 mi) west of the city, while the stream Arroyo Porongos flows 8 kilometres (5.0 mi) east of the city, both tributaries of the river Río Yí.",Trinidad,uruguay,"Trinidad, Uruguay",566,uruguay,no,['myanmar'],uruguay,0
443,"About the 14th century BC, the Main people established the first country in the history of Yemen, the Main Kingdom, in the present-day Al Jawf Governorate (the eastern neighbouring province of today's Saada Province).",Sa'dah,yemen,Saada,1188,yemen,al jawf governorate,['saudi arabia'],yemen,0
426,"It is located south-west of Makgadikgadi Pan, and is served by local Rakops Airport.",Rakops,botswana,Rakops,426,botswana,rakops airport,['botswana'],botswana,0
431,"Yafrus had a population of 2,786 at the 2004 census.",Yufrus,yemen,Yafrus,1176,syria,yafrus,"['palestine, state of']",yemen,0
514,"Illizi lies on the N3 national highway, which leads north to In Amenas and Touggourt and south to Djanet.",Illizi,algeria,Illizi,1259,algeria,illizi,['algeria'],algeria,0
861,"Aoulef has a hot desert climate (Köppen climate classification BWh), with long, extremely hot summers and short, very warm winters.",Aoulef,algeria,Aoulef,1606,algeria,aoulef,['algeria'],algeria,0
486,Zinjibar was a long-established trading center for commerce with the Far East.,ZinjibÄr,yemen,Zinjibar,1231,yemen,zinjibar,['yemen'],yemen,0
716,"Annaba (Arabic: عنّابة, lit ""Place of the Jujubes""), formerly known as Bon, Bona and Bône, is a seaport city in the northeastern corner of Algeria, close to the border with Tunisia.",Annaba,algeria,Annaba,1461,algeria,annaba,['algeria'],algeria,0
238,"As late as 1979, the women of Jibla would launder their clothes in large pools formed by rivulets of natural spring water, which trickled down the slopes of Jebal Attaker.",Jiblah,yemen,"Jibla, Yemen",983,yemen,jibla,['yemen'],yemen,0
173,"On 14 January 2022, Florida recorded a temperature of 44.0 °C (111.2 °F), which is the joint highest temperature (along with Paysandú) to have ever been recorded in Uruguay.",Florida,uruguay,"Florida, Uruguay",173,uruguay,uruguay,['uruguay'],uruguay,0
261,"Boukadir is a town and commune in Chlef Province, Algeria.",Boukadir,algeria,Boukadir,1006,algeria,boukadir,['algeria'],algeria,0
298,"The City of Francistown is an administrative district, separated from North-East District.",Francistown,botswana,Francistown,298,botswana,francistown,['botswana'],botswana,0
709,Its location corresponds to that of ancient Calama.,Guelma,algeria,Guelma,1454,chile,calama,['chile'],algeria,0
71,"El Guerrara has a hot desert climate (Köppen climate classification BWh), with very hot summers and mild winters, and very little precipitation throughout the year.",Guerara,algeria,El Guerrara,816,algeria,el guerrara,['mexico'],algeria,0
741,The word sabbar could also be the plural of Zabbara which is the Agave plant in Sicilian.,Å»abbar,malta,Å»abbar,741,italy,sicilian,['italy'],italy,0
124,Gabane is well known for her lively music scene and night life as well as contemporary fashion trends.,Gabane,botswana,Gabane,124,botswana,gabane,['botswana'],botswana,0
534,"Khorog (Tajik: Хоруғ, Latin script: Xoruƣ; Russian: Хорог, romanized: Horog; Persian: خاروغ, romanized: Khārūgh, Tajik pronunciation: [χɔrɔʁ]) is the capital of Gorno-Badakhshan, Tajikistan.",Khorugh,tajikistan,Khorog,534,tajikistan,khorog,['russian federation'],tajikistan,0
259,"In the 1980s, Mathangwane was known for persistent vehicle accidents that occurred at the Shashe River single-lane bridge linking the village to the City of Francistown.",Mathangwane,botswana,Mathangwane,259,botswana,mathangwane,['botswana'],botswana,0
599,He is buried in a Chapel in Hamrun.,Ä¦amrun,malta,Hamrun,599,malta,hamrun,['philippines'],malta,0
488,"Rudum District is a district of the Shabwah Governorate, Yemen.",Ruá¸Å«m,yemen,Rudum District,1233,yemen,yemen,['yemen'],yemen,0
415,Żurrieq is part of District 5 and votes for the local council every five years.,Å»urrieq,malta,Å»urrieq,415,malta,Ã¥Â»urrieq,"['palestine, state of']",malta,0
